case,year,month,day,location,summary,fatalities,injured,total_victims,location_type,male,age_of_shooter,race,prior_mental_illness
El Paso Walmart mass shooting,2019,Aug,3,"El Paso, Texas","Patrick Crusius, 21, who was apprehended by police, posted a so-called manifesto online shortly before the attack espousing ideas of violent white nationalism and hatred of immigrants. ""This attack is a response to the Hispanic invasion of Texas,"" he allegedly wrote in the document.",22,26,48,Workplace,TRUE,21,White,NA
Gilroy garlic festival shooting,2019,Jul,28,"Gilroy, California","Santino William LeGan, 19, fired indiscriminately into the crowd near a concert stage at the festival. He used an AK-47-style rifle, purchased legally in Nevada three weeks earlier. After apparently pausing to reload, he fired additional multiple rounds before police shot him and then he killed himself. A witness described overhearing someone shout at LeGan, ""Why are you doing this?"" LeGan, who wore camouflage and tactical gear, replied: “Because I'm really angry."" The murdered victims included a 13-year-old girl, a man in his 20s, and six-year-old Stephen Romero.",3,12,15,Other,TRUE,19,NA,NA
Virginia Beach municipal building shooting,2019,May,31,"Virginia Beach, Virginia","DeWayne Craddock, 40, a municipal city worker wielding handguns, a suppressor and high-capacity magazines, killed en masse inside a Virginia Beach muncipal building late in the day on a Friday, before dying in a prolonged gun battle with police. Craddock reportedly had submitted his resignation from his job that morning. He was a veteran of the Virginia Army National Guard, and ""had a shaved head, bodybuilder’s physique and cameras in the windows of his house on a peaceful cul-de-sac,"" according to the Washington Post.",12,4,16,Workplace,TRUE,40,Black,NA
Harry Pratt Co. warehouse shooting,2019,Feb,15,"Aurora, Illinois","Gary Martin, 45, went on a rampage inside the warehouse in response to being fired from his job and died soon thereafter in a shootout with police. Among his victims were five dead coworkers and five injured police officers. Martin had a felony record and lengthy history of domestic violence; he was able to obtain a gun despite having had his Illinois firearms ownership identification card revoked. According to a report from prosecutors, Martin told a co-worker the morning of the shooting that if he was fired he was going to kill employees and police.",5,6,11,Workplace,TRUE,45,Black,Yes
Pennsylvania hotel bar shooting,2019,Jan,24,"State College, Pennsylvania","Jordan Witmer, 21, shot three people at a Ramada Hotel bar near Penn State University, including a former girlfriend he was there with. He then fled the bar, crashed his car about a mile away, and stormed into a random house, fatally shooting an elderly resident and then himself. Witmer, who had a legal carry permit for his handgun, had just finished a three-year stint in the US Army; ten days prior to the attack he had been convicted on drunk driving-related charges in Kentucky, where he'd been stationed.",3,1,4,Other,TRUE,21,White,NA
SunTrust bank shooting,2019,Jan,23,"Sebring, Florida","Zephen A. Xaver, 21, fatally shot five women inside a bank and then called the police to confess. He was armed with a handgun and wore a bulletproof vest. He reportedly ordered the women to lie down on the floor and shot them execution-style. After a standoff with police, he surrendered and was taken into custody. A week prior, Xaver had quit a job as a prison guard trainee, and authorities said they believed the shooting was ""a random act"" and that roberry did not appear to be a motive. An ex-girlfriend in Indiana told local media she'd been “scared for years” by Xaver’s talk of violence and death, but that her warnings to others (who she did not identify) were not taken seriously. She said she’d first met Xaver in a psychiatric hospital in 2013. In March 2017, Michigan State Police documented an incident in which Xaver indicated he was “possibly thinking of suicide by cop and taking hostages.""",5,0,5,Workplace,TRUE,21,White,Yes
Mercy Hospital shooting,2018,Nov,19,"Chicago, Illinois","Juan Lopez, 32, confronted his former fiancé, ER doctor Tamara O'Neal, before shooting her and opening fire on others at the hospital, including a responding police officer, Samuel Jimenez, and a pharmacy employee, Dayna Less. Lopez was fatally shot by a responding SWAT officer. Lopez had a history of domestic abuse against an ex-wife, and was kicked out of a fire department training academy for misconduct against female cadets.",3,0,3,Workplace,TRUE,32,Latino,NA
Thousand Oaks nightclub shooting,2018,Nov,7,"Thousand Oaks, California","Ian David Long, 28, dressed in black and armed with a handgun and a “smoke device,” approached the Borderline Bar & Grill — a country music venue popular with college students — close to midnight and opened fire, killing a security guard and then others in the club, including a sheriff’s deputy responding to the attack. Long was found dead at the scene from apparent suicide. He was a former Marine and had a history of interactions with local law enforcement, including a mental health evaluation in which he’d been cleared.",12,22,34,Other,TRUE,28,NA,Yes
Tree of Life synagogue shooting,2018,Oct,27,"Pittsburgh, Pennsylvania","Robert D. Bowers, 46, shouted anti-Semitic slurs as he opened fire inside the Tree of Life synagogue during Saturday morning worship. He was armed with an assault rifle and multiple handguns and was apprehended after a standoff with police. His social media accounts contained virulent anti-Semitic content, and references to migrant caravan ""invaders"" hyped by President Trump and the Republican party ahead of the 2018 midterms elections.",11,6,17,Religious,TRUE,46,White,NA
Rite Aid warehouse shooting,2018,Sep,20,"Perryman, Maryland","Snochia Moseley, 26, reportedly a disgruntled employee, shot her victims outside the building and on the warehouse floor; she later died from a self-inflicted gunshot at a nearby hospital. (No law enforcement officers responding to her attack fired shots.)",3,3,6,Workplace,FALSE,26,Black,NA
T&T Trucking shooting,2018,Sep,12,"Bakersfield, California","Javier Casarez, 54, who was going through a bitter divorce, went on a shooting spree targeting his ex-wife and former coworkers at the trucking company. His attack included fatally shooting one victim who he pursued to a nearby sporting goods retailer, and two others at a private residence. After then carjacking a woman who was driving with a child (and letting the two go), Casarez fatally shot himself as law enforcement officials closed in on him.",5,0,5,Workplace,TRUE,54,Latino,NA
Fifth Third Center shooting,2018,Sep,6,"Cincinnati, Ohio","Omar Enrique Santa Perez, 29, walked into the ground-floor lobby of a building in downtown Cincinnati shortly after 9 a.m. and opened fire. Within minutes, Perez was fatally wounded in a shootout with law enforcement officers responding to the scene.",3,2,5,Workplace,TRUE,29,Latino,Yes
Capital Gazette shooting,2018,Jun,28,"Annapolis, Maryland","Jarrod W. Ramos, 38, shot through the glass doors of the paper’s newsroom around 3pm to carry out his attack; police quickly responding to the scene found him hiding under a desk and apprehended him. Ramos had harbored a longstanding grudge against the paper over a 2011 column that had detailed his guilty plea for the harassment of a former female classmate. Ramos had sued the paper for defamation and lost.",5,2,7,Workplace,TRUE,38,White,NA
Santa Fe High School shooting,2018,May,18,"Santa Fe, Texas","Dimitrios Pagourtzis, a 17-year-old student, opened fire at Santa Fe High School with a shotgun and .38 revolver owned by his father; Pagourtzis killed 10 and injured at least 13 others before surrendering to authorities after a standoff and additional gunfire inside the school. (Pagourtzis reportedly had intended to commit suicide.) Investigators also found undetonated explosive devices in the vicinity. (FURTHER DETAILS PENDING.)",10,13,23,School,TRUE,17,White,NA
Waffle House shooting,2018,Apr,22,"Nashville, Tennessee","Travis Reinking, 29, opened fire around 3:30 a.m. in the parking lot of a Waffle House in Antioch, and continued shooting as he entered the restaurant. As he attempted to reload his AR-15, a bystander heroically wrestled the rifle away from Reinking, who then fled; he was captured by authorities the following day. Reinking had a history of erratic behavior and run-ins with law enforcement in his home state of Illinois, including claims that he was being stalked and harassed by pop star Taylor Swift. In July 2017, he was arrested at the White House after breaching security in an effort to speak with President Trump, reportedly claiming his right to do so as “a sovereign citizen.”",4,4,8,Other,TRUE,29,White,Yes
Yountville veterans home shooting,2018,Mar,9,"Yountville, California","Army veteran Albert Cheung Wong, 36, stormed a veterans home where he was previously under care, exchanging gunfire with a sheriff’s deputy and taking three women hostage, one of whom he’d previously threatened. After a standoff with law enforcement, he killed the three women and himself.",3,0,3,Workplace,TRUE,36,Asian,Yes
Marjory Stoneman Douglas High School shooting,2018,Feb,14,"Parkland, Florida","Nikolas J. Cruz, 19, heavily armed with an AR-15, tactical gear, and “countless magazines” of ammo, according to the Broward County Sheriff, attacked the high school as classes were ending for the day, killing at least 17 people and injuring many others. He was apprehended by authorities shortly after fleeing the campus.",17,17,34,School,TRUE,19,White,Yes
Pennsylvania carwash shooting,2018,Jan,28,"Melcroft, Pennsylvania","Timothy O'Brien Smith, 28, wearing body armor and well-stocked with ammo, opened fire at a carwash early in the morning in this rural community, killing four people. A fifth victim, though not shot, suffered minor injuries. One of the deceased victims, 25-year-old Chelsie Cline, had been romantically involved with Smith and had broken off the relationship recently, according to her sister. Smith shot himself in the head and died later that night at the hospital.",4,1,5,Other,TRUE,28,White,NA
Rancho Tehama shooting spree,2017,Nov,14,"Rancho Tehama, California","Kevin Janson Neal, 44, went on an approximately 45-minute shooting spree in the rural community of Rancho Tehama Reserve in Northern California, including shooting up an elementary school, before being killed by law enforcement officers. Neal had also killed his wife at home.",5,10,15,Other,TRUE,44,White,NA
Texas First Baptist Church massacre,2017,Nov,5,"Sutherland Springs, Texas","Devin Patrick Kelley, a 26-year-old ex-US Air Force airman, opened fire at the First Baptist Church in Sutherland Springs during Sunday morning services, killing at least 26 people and wounding and injuring 20 others. He left the church and fled in his vehicle after engaging in a gunfight with a local citizen; he soon crashed his vehicle and died from a self-inflicted gunshot wound.",26,20,46,Religious,TRUE,26,White,Yes
Walmart shooting in suburban Denver,2017,Nov,1,"Thornton, Colorado","Scott Allen Ostrem, 47, walked into a Walmart in a suburb north of Denver and fatally shot two men and a woman, then left the store and drove away. After an all-night manhunt, Ostrem, who had financial problems but no serious criminal history, was captured by police after being spotted near his apartment in Denver.",3,0,3,Other,TRUE,47,White,NA
Edgewood businees park shooting,2017,Oct,18,"Edgewood, Maryland","Radee Labeeb Prince, 37, fatally shot three people and wounded two others around 9am at Advance Granite Solutions, a home remodeling business where he worked near Baltimore. Hours later he shot and wounded a sixth person at a car dealership in Wilmington, Delaware. He was apprehended that evening following a manhunt by authorities.",3,3,6,Workplace,TRUE,37,Black,NA
Las Vegas Strip massacre,2017,Oct,1,"Las Vegas, Nevada","Stephen Craig Paddock, 64, fired a barrage of rapid gunfire—using semiautomatic rifles modified with ""bump stocks""—at thousands of concertgoers on the Las Vegas Strip late on a Sunday night; Paddock had positioned himself in a corner suite on the 32nd floor of the Mandalay Bay Resort and Casino, where he took aim from windows he'd smashed open. Police responding to the attack found Paddock inside the hotel suite, deceased from a self-inflicted gunshot.",58,546,604,Other,TRUE,64,White,NA
San Francisco UPS shooting,2017,Jun,14,"San Francisco, California","Jimmy Lam, 38, fatally shot three coworkers and wounded two others inside a UPS facility in San Francisco. Lam killed himself as law enforcement officers responded to the scene.",3,2,5,Workplace,TRUE,38,Asian,Yes
Pennsylvania supermarket shooting,2017,Jun,7,"Tunkhannock, Pennsylvania","Randy Stair, a 24-year-old worker at Weis grocery fatally shot three of his fellow employees. He reportedly fired 59 rounds with a pair of shotguns before turning the gun on himself as another co-worker fled the scene for help and law enforcement responded.",3,0,3,Workplace,TRUE,24,White,NA
Florida awning manufacturer shooting,2017,Jun,5,"Orlando, Florida","John Robert Neumann, Jr., 45, a former employee of manufacturer Fiamma Inc. fatally shot five workers at the company, and then killed himself on the scene. He'd been fired from the company in April. The attack took place a week before the one-year anniversary of the Orlando nightclub massacre.",5,0,5,Workplace,TRUE,45,NA,NA
Rural Ohio nursing home shooting,2017,May,12,"Kirkersville, Ohio","Thomas Hartless, 43, shot and killed a former girlfriend and another employee of a nursing home, and fatally shot the Kirkersville police chief responding to the scene. Hartless' former girlfriend had recently obtained a court protection order against Hartless. Investigators later found more than 60 firearms in the home of Hartless, who was found dead at the scene of the attack, having turned his gun on himself, according to local authorities.",3,0,3,Workplace,TRUE,43,White,Yes
Fresno downtown shooting,2017,Apr,18,"Fresno, California","Kori Ali Muhammad, 39, opened fire along a street in downtown Fresno, killing three people randomly in an alleged hate crime prior to being apprehended by police. Muhammad, who is black, killed three white victims and later described his attack as being racially motivated; he also reportedly yelled 'Allahu Akbar' at the time he was arrested, but authorities indicated they found no links to Islamist terrorism.",3,0,3,Other,TRUE,39,Black,NA
Fort Lauderdale airport shooting,2017,Jan,6,"Fort Lauderdale, Florida","Esteban Santiago, 26, flew from Alaska to Fort Lauderdale, where he opened fire in the baggage claim area of the airport, killing five and wounding six before police aprehended him. (Numerous other people were reportedly injured while fleeing during the panic.)",5,6,11,Airport,TRUE,26,Latino,Yes
Cascade Mall shooting,2016,Sep,23,"Burlington, Washington","Arcan Cetin, 20, killed a teen girl and three women in the cosmetics section of a Macy’s department store at the Cascade Mall. A man was critically wounded in the shooting and taken to Harborview Medical Center in Seattle, where he died. Cetin was apprehended by police a few hours after the shooting while driving a car near his residence.",5,0,5,Other,TRUE,20,NA,Yes
Baton Rouge police shooting,2016,Jul,17,"Baton Rouge, Lousiana","Gavin Long, 29, a former Marine who served in Iraq, killed three police offers responding to a 911 call, and wounded three others. He was killed in a shoot-out with other officers responding to the scene. Prior to the attack, Long posted prolifically on social media, where he expressed admiration for the cop killer in Dallas 10 days prior.",3,3,6,Other,TRUE,29,Black,Yes
Dallas police shooting,2016,Jul,7,"Dallas, Texas","Micah Xavier Johnson, a 25-year-old Army veteran, targeted police at a peaceful Black Lives Matter protest, killing five officers and injuring nine others as well as two civilians. After a prolonged standoff in a downtown building, law enforcement killed Johnson using a robot-delivered bomb.",5,11,16,Other,TRUE,25,Black,NA
Orlando nightclub massacre,2016,Jun,12,"Orlando, Florida","Omar Mateen, 29, attacked the Pulse nighclub in Orlando in the early morning hours of June 12. He was killed by law enforcement who raided the club after a prolonged standoff.",49,53,102,Other,TRUE,29,Other,NA
Excel Industries mass shooting,2016,Feb,25,"Hesston, Kansas","Cedric L. Ford, who worked as a painter at a manufacturing company, shot victims from his car and at his workplace before being killed by police at the scene. Shortly before the rampage he had been served with a restraining order.",3,14,17,Workplace,TRUE,38,Black,NA
Kalamazoo shooting spree,2016,Feb,20,"Kalamazoo County, Michigan","Jason B. Dalton, a driver for Uber, apparently selected his victims randomly as he went on a rampage over several hours in three different locations, including five people he shot in the parking lot of a Cracker Barrel restaurant. He was ""arrested without incident"" at a downtown Kalamazoo bar about six hours after the rampage began.",6,2,8,Other,TRUE,45,White,NA
San Bernardino mass shooting,2015,Dec,2,"San Bernardino, California","Syed Rizwan Farook left a Christmas party held at Inland Regional Center, later returning with Tashfeen Malik and the two opened fire, killing 14 and wounding 21, ten critically. The two were later killed by police as they fled in an SUV.",14,21,35,Workplace,TRUE,28,Other,NA
Planned Parenthood clinic,2015,Nov,27,"Colorado Springs, Colorado","Robert Lewis Dear, 57, shot and killed a police officer and two citizens when he opened fire at a Planned Parenthood health clinic in Colorado Springs, Colorado. Nine others were wounded. Dear was arrested after an hours-long standoff with police.",3,9,12,Workplace,TRUE,57,White,NA
Colorado Springs shooting rampage,2015,Oct,31,"Colorado Springs, Colorado","Noah Harpham, 33, shot three people before dead in Colorado Springs before police killed him in a shootout.",3,0,3,Other,TRUE,33,White,NA
Umpqua Community College shooting,2015,Oct,1,"Roseburg, Oregon",26-year-old Chris Harper Mercer opened fire at Umpqua Community College in southwest Oregon. The gunman shot himself to death after being wounded in a shootout with police.,9,9,18,School,TRUE,26,Other,NA
Chattanooga military recruitment center,2015,Jul,16,"Chattanooga, Tennessee","Kuwaiti-born Mohammod Youssuf Abdulazeez, 24, a naturalized US citizen, opened fire at a Naval reserve center, and then drove to a military recruitment office where he shot and killed four Marines and a Navy service member, and wounded a police officer and another military service member. He was then fatally shot in an exchange of gunfire with law enforcement officers responding to the attack.",5,2,7,Military,TRUE,24,Other,NA
Charleston Church Shooting,2015,Jun,17,"Charleston, South Carolina","Dylann Storm Roof, 21, shot and killed 9 people after opening fire at the Emanuel AME Church in Charleston, South Carolina. According to a roommate, he had allegedly been “planning something like that for six months.""",9,1,10,Religious,TRUE,21,White,NA
Trestle Trail bridge shooting,2015,Jun,11,"Menasha, Wisconsin","Sergio Valencia del Toro, 27, in what officials say was a random act, shot and killed three people including an 11-year-old girl before turning the gun on himself.",3,1,4,Other,TRUE,27,Latino,Yes
Marysville-Pilchuck High School shooting,2014,Oct,24,"Marysville, Washington","Jaylen Fryberg, 15, using a .40-caliber Berretta, shot five 
students at Marysville High School, including two of his cousins and three friends, killing all but one. Fryberg arranged to meet them for lunch in the school cafeteria by text. Fryberg was reportedly well-liked at the school and there was not believed to be any ill-will between him and his victims. He committed suicide at the scene.",5,1,6,School,TRUE,15,Native American,NA
Isla Vista mass murder,2014,May,23,"Santa Barbara, California","Elliot Rodger, 22, shot three people to death in the college town of Isla Vista near the University of California, Santa Barbara. He also shot others as he drove around town, and injured others by striking them with is vehicle. He committed suicide by shooting himself in his car as police closed in. Prior to the rampage, Rodger stabbed three people to death at his apartment.",6,13,19,School,TRUE,22,White,Yes
Fort Hood shooting 2,2014,Apr,3,"Fort Hood, Texas","Army Specialist Ivan Lopez, 34, opened fire at the Fort Hood Army Post in Texas, killing three and wounding at least 12 others before shooting himself in the head after engaging with military police. Lt. Gen. Mark A. Milley told reporters that Lopez ""had behavioral health and mental health"" issues.",3,12,15,Military,TRUE,34,Latino,NA
Alturas tribal shooting,2014,Feb,20,"Alturas, California","Cherie Lash Rhoades, 44, opened fire at the Cedarville Rancheria Tribal Office and Community Center, killing four and wounding two. After running out of ammunition, Rhoades grabbed a butcher knife and stabbed another person.",4,2,6,Other,FALSE,44,Native American,NA
Washington Navy Yard shooting,2013,Sep,16,"Washington, D.C.","Aaron Alexis, 34, a military veteran and contractor from Texas, opened fire in the Navy installation, killing 12 people and wounding 8 before being shot dead by police.",12,8,20,Military,TRUE,34,Black,Yes
Hialeah apartment shooting,2013,Jul,26,"Hialeah, Florida","Pedro Vargas, 42, set fire to his apartment, killed six people in the complex, and held another two hostages at gunpoint before a SWAT team stormed the building and fatally shot him.",7,0,7,Other,TRUE,42,Latino,NA
Santa Monica rampage,2013,Jun,7,"Santa Monica, California","John Zawahri, 23, armed with a homemade assault rifle and high-capacity magazines, killed his brother and father at home and then headed to Santa Monica College, where he was eventually killed by police.",6,3,9,Other,TRUE,23,White,Yes
Pinewood Village Apartment shooting,2013,Apr,21,"Federal Way, Washington","Dennis Clark III, 27, shot and killed his girlfriend in their shared apartment, and then shot two witnesses in the building's parking lot and a third victim in another apartment, before being killed by police.",5,0,5,Other,TRUE,27,Black,No
Mohawk Valley shootings,2013,Mar,13,"Herkimer County, New York","Kurt Myers, 64, shot six people in neighboring towns, killing two in a barbershop and two at a car care business, before being killed by officers in a shootout after a nearly 19-hour standoff.",5,2,7,Other,TRUE,64,White,No
Sandy Hook Elementary massacre,2012,Dec,14,"Newtown, Connecticut","Adam Lanza, 20, shot his mother dead at their home then drove to Sandy Hook Elementary school. He forced his way inside and opened fire, killing 20 children and six adults before committing suicide.",27,2,29,School,TRUE,20,White,Yes
Accent Signage Systems shooting,2012,Sep,27,"Minneapolis, Minnesota","Andrew Engeldinger, 36, upon learning he was being fired, went on a shooting rampage, killing the business owner, three fellow employees, and a UPS driver. He then killed himself.",7,1,8,Workplace,TRUE,36,White,Yes
Sikh temple shooting,2012,Aug,5,"Oak Creek, Wisconsin","U.S. Army veteran Wade Michael Page, 40, opened fire in a Sikh gurdwara before he died from a self-inflicted gunshot would during a shootout with police.",7,3,10,Religious,TRUE,40,White,Yes
Aurora theater shooting,2012,Jul,20,"Aurora, Colorado","James Holmes, 24, opened fire in a movie theater during the opening night of ""The Dark Night Rises"" and was later arrested outside.",12,70,82,Other,TRUE,24,White,Yes
Seattle cafe shooting,2012,May,20,"Seattle, Washington","Ian Stawicki, 40, gunned down four patrons at a cafe, and another person during a carjacking nearby, then shot himself as police closed in. (He died later that day in a Seattle hospital.)",6,1,7,Other,TRUE,40,White,Yes
Oikos University killings,2012,Apr,2,"Oakland, California","One L. Goh, 43, a former student, opened fire in a nursing classroom. He fled the scene by car and was arrested nearby a few hours later.",7,3,10,School,TRUE,43,Asian,Yes
Su Jung Health Sauna shooting,2012,Feb,21,"Norcross, Georgia","Jeong Soo Paek, 59, returned to a Korean spa from which he'd been kicked out after an altercation. He gunned down two of his sisters and their husbands before committing suicide.",5,0,5,Other,TRUE,59,Asian,Yes
Seal Beach shooting,2011,Oct,12,"Seal Beach, California","Scott Evans Dekraai, 42, opened fire inside a hair salon and was later arrested. Victims killed in the attack included his ex-wife, who Dekraai had a history of violently abusing, according to court records. The two had also been involved in a bitter custody battle.",8,1,9,Other,TRUE,42,White,Yes
IHOP shooting,2011,Sep,6,"Carson City, Nevada","Eduardo Sencion, 32, opened fire at an International House of Pancakes restaurant and later died from a self-inflicted gunshot wound.",5,7,12,Other,TRUE,32,Latino,Yes
Tucson shooting,2011,Jan,8,"Tucson, Arizona","Jared Loughner, 22, opened fire outside a Safeway during a constituent meeting with Congresswoman Gabrielle Giffords (D-Ariz.) before he was subdued by bystanders and arrested.",6,13,19,Other,TRUE,22,White,Yes
Hartford Beer Distributor shooting,2010,Aug,3,"Manchester, Connecticut","Omar S. Thornton, 34, shot up his Hartford Beer Distributor workplace after facing disciplinary issues, then committed suicide.",9,2,11,Workplace,TRUE,34,Black,No
Coffee shop police killings,2009,Nov,29,"Parkland, Washington","Maurice Clemmons, 37, a felon who was out on bail for child-rape charges, entered a coffee shop on a Sunday morning and shot four police officers who had gone there to use their laptops before their shifts. Clemmons, who was wounded fleeing the scene, was later shot dead by a police officer in Seattle after a two-day manhunt.",4,1,5,Other,TRUE,37,Black,Yes
Fort Hood massacre,2009,Nov,5,"Fort Hood, Texas","Army psychiatrist Nidal Malik Hasan, 39, opened fire on an Army base in an attack linked to Islamist extremism. Hasan was injured during the attack and later arrested.",13,31,44,Military,TRUE,39,Other,NA
Binghamton shootings,2009,Apr,3,"Binghamton, New York","Jiverly Wong, 41, opened fire at an American Civic Association center for immigrants before committing suicide.",14,4,18,Other,TRUE,41,Asian,Yes
Carthage nursing home shooting,2009,Mar,29,"Carthage, North Carolina","Robert Stewart, 45, opened fire at a nursing home where his estranged wife worked before he was shot and arrested by a police officer.",8,3,11,Other,TRUE,45,White,Yes
Atlantis Plastics shooting,2008,Jun,25,"Henderson, Kentucky","Disgruntled employee Wesley Neal Higdon, 25, shot up an Atlantis Plastics factory after he was escorted out of his workplace for an argument with a supervisor. Higdon shot the supervisor outside the factory before opening fire on coworkers inside. He then committed suicide.",6,1,7,Workplace,TRUE,25,White,No
Northern Illinois University shooting,2008,Feb,14,"DeKalb, Illinois","Steven Kazmierczak, 27, opened fire in a lecture hall, then shot and killed himself before police arrived.",5,21,26,School,TRUE,27,White,Yes
Kirkwood City Council shooting,2008,Feb,7,"Kirkwood, Missouri","Charles ""Cookie"" Lee Thornton, 52, went on a rampage at the city hall before being shot and killed by police.",6,2,8,Other,TRUE,52,Black,No
Westroads Mall shooting,2007,Dec,5,"Omaha, Nebraska","Robert A. Hawkins, 19, opened fire inside Westroads Mall before committing suicide.",9,4,13,Other,TRUE,19,White,Yes
Crandon shooting,2007,Oct,7,"Crandon, Wisconsin","Off-duty sheriff's deputy Tyler Peterson, 20, opened fire inside an apartment after an argument at a homecoming party. He fled the scene and later committed suicide.",6,1,7,Other,TRUE,20,White,NA
Virginia Tech massacre,2007,Apr,16,"Blacksburg, Virginia","Virginia Tech student Seung-Hui Cho, 23, opened fire on his school's campus before committing suicide.",32,23,55,School,TRUE,23,Asian,Yes
Trolley Square shooting,2007,Feb,12,"Salt Lake City, Utah","Sulejman Talović, 18, rampaged through the shopping center until he was shot dead by police.",6,4,10,Other,TRUE,18,White,NA
Amish school shooting,2006,Oct,2,"Lancaster County, Pennsylvania","Charles Carl Roberts, 32, shot 10 young girls in a one-room schoolhouse in Bart Township, killing 5, before taking his own life.",6,5,11,School,TRUE,32,White,No
Capitol Hill massacre,2006,Mar,25,"Seattle, Washington","Kyle Aaron Huff, 28, opened fire at a rave afterparty in the Capitol Hill neighborhood of Seattle before committing suicide.",7,2,9,Other,TRUE,28,White,No
Goleta postal shootings,2006,Jan,30,"Goleta, California","Former postal worker Jennifer Sanmarco, 44, shot dead a former neighbor then drove to the mail processing plant where she used to work. Inside, she opened fire, killing six employees before committing suicide.",8,0,8,Workplace,FALSE,44,White,Yes
Red Lake massacre,2005,Mar,21,"Red Lake, Minnesota","Jeffrey Weise, 16, murdered his grandfather, who was a police officer, and grandfather's girlfriend. Weise then drove his grandfather's squad car to Red Lake Senior High School and opened fire on the reservation campus, killing another seven people before committing suicide.",10,5,15,School,TRUE,16,Native American,Yes
